name,lat,lng
3400208,25.42063345,-100.143105
3400408,25.51407181,-100.185631
3399389,25.5428462,-100.2373277
3400713,25.5490608,-100.2337281
3400548,25.5578321,-100.2274561
3400003,25.56162721,-100.2199259
3400711,25.56187696,-100.2290973
3396708,25.56266434,-100.2294817
3398571,25.563692,-100.2766799
3399858,25.5637252,-100.2751815
3400269,25.5642185,-100.2330574
3400046,25.56488521,-100.2202426
3397064,25.56888478,-100.2776702
3400251,25.57231459,-100.2339991
3399351,25.57489962,-100.2757922
3393874,25.5760644,-100.2663157
3356832,25.5771784,-100.2753886
3399980,25.57739263,-100.2614685
3400772,25.57921105,-100.2695875
3399774,25.58008695,-100.239685
3395991,25.58009171,-100.251441
3399998,25.5854864,-100.2493567
3399664,25.5867605,-100.267659
3393917,25.58896154,-100.2574268
3400554,25.59128503,-100.2794014
3399777,25.5932589,-100.2826027
3399752,25.5932589,-100.2826027
3399758,25.5999286,-100.2630431
3400701,25.59995264,-100.2631191
3399802,25.6010016,-100.2734138
3393114,25.6036931,-100.2765479
3399609,25.60395526,-100.2521462
3400311,25.6047825,-100.2784925
3395955,25.60617481,-100.2743549
3400034,25.60781898,-100.2770141
3399776,25.61042271,-100.2603044
3397503,25.61464295,-100.2765529
3391422,25.6157919,-100.2967065
3400249,25.61663365,-100.3184553
3400291,25.6168332,-100.3126596
3400578,25.6195471,-100.3027181
3399818,25.62149193,-100.2893461
3400848,25.62545982,-100.2650447
3371422,25.6262947,-100.2715145
3399384,25.6263199,-100.2997501
3400747,25.6263745,-100.2851382
3393587,25.626409,-100.2842109
3399828,25.6266694,-100.3564522
3399958,25.62703461,-100.3059499
3399426,25.6271043,-100.2648015
3400026,25.6271043,-100.2648015
3381822,25.6271043,-100.2648015
3400883,25.62791154,-100.2628
3399692,25.6281428,-100.3664752
3399946,25.62995901,-100.3033774
3399611,25.6300889,-100.2733956
3400557,25.63713418,-100.3166905
3399275,25.6381904,-100.3334831
3392576,25.6390197,-100.2882882
3400806,25.63940813,-100.1718003
3400201,25.63985405,-100.3926328
3399519,25.6402194,-100.1805221
3394548,25.641241,-100.2820506
3399831,25.64135409,-100.1955971
3400555,25.64239326,-100.326528
3399493,25.6428047,-100.3214614
3393772,25.64324672,-100.2669072
3400621,25.6435386,-100.1926568
3400909,25.6440898,-100.1871
3393258,25.6443032,-100.2008215
3400133,25.6457273,-100.3721592
3376651,25.64579435,-100.3722229
3399811,25.64581987,-100.2706682
3400568,25.64599865,-100.2714078
3399666,25.6464629,-100.1999084
3400509,25.6465058,-100.2755487
3399637,25.6469197,-100.3625685
3400553,25.6470971,-100.334157
3399661,25.6479308,-100.3751757
3398594,25.6480691,-100.2612283
3399804,25.648213,-100.3606854
3400338,25.6490003,-100.2643502
3391964,25.6491003,-100.295315
3379677,25.6491447,-100.3709222
3399380,25.6493724,-100.3754708
3398296,25.64964807,-100.2937908
3400651,25.6497279,-100.3263283
3384158,25.6503385,-100.3795387
3400097,25.6504784,-100.3411158
3399529,25.6508705,-100.2793134
3399153,25.65213337,-100.3810596
3399955,25.6522178,-100.3523345
3398870,25.6526375,-100.3884061
3400820,25.652752,-100.4254491
3399383,25.65290142,-100.4253925
3400811,25.6532519,-100.2755208
3399530,25.65350819,-100.2765454
3400016,25.65351,-100.403698
3400369,25.6535329,-100.403675
3399569,25.6536593,-100.3762292
3398708,25.6537836,-100.4238587
3399523,25.65380522,-100.2635359
3367587,25.6539174,-100.3772178
3400796,25.6545056,-100.3599523
3393039,25.6550869,-100.2800117
3400323,25.6551795,-100.2665192
3399740,25.65530011,-100.2267512
3395975,25.65624641,-100.4033886
3400238,25.65625649,-100.2654089
3400322,25.65763964,-100.3681041
3399510,25.6577802,-100.3891751
3400844,25.65819941,-100.3596355
3399983,25.65821059,-100.2515342
3399974,25.65821059,-100.2515342
3399962,25.65870668,-100.4125577
3401312,25.6587751,-100.4128283
3379276,25.6587916,-100.3411673
3391775,25.65962034,-100.4082723
